Student_ID,Age,Gender,Department,Semester,Attendance,Study_Hours_Per_Day,Sleep_Hours,Assignment_Score,Practical_Score,Internal_Marks,Previous_Sem_Percentage,Coding_Hours_Per_Week,Projects_Completed,Certifications,Internship,Backlogs,Stress_Level,Communication_Score,Aptitude_Score,Interview_Score,Final_Percentage,Placement_Status,Package_LPA
ST1001,21,Female,Computer Engineering,4,80.3,1.2,4.4,52.8,40.7,81.7,71.5,3.0,6.0,1,No,0,Medium,67.9,71.0,57.4,54.0,Placed,2.0
ST1002,22,Female,Computer Engineering,6,70.1,0.7,6.5,69.9,74.1,75.9,84.0,0.4,3.0,0,Yes,3,Medium,56.4,84.9,95.0,59.0,Not Placed,0.0
ST1003,20,Female,Electronics,5,83.1,4.6,8.2,87.4,57.4,77.9,79.0,15.7,1.0,4,No,0,Low,55.6,47.9,41.9,67.0,Not Placed,0.0
ST1004,22,Female,Electronics,6,78.2,0.7,5.3,71.0,69.8,70.6,98.0,15.1,4.0,4,No,1,Low,54.7,83.6,88.3,58.5,Placed,3.43
ST1005,22,Female,Computer Engineering,6,70.3,2.9,4.0,64.8,72.1,95.1,98.0,0.0,4.0,0,No,0,High,71.3,57.5,52.7,62.0,Placed,3.56
ST1006,19,Male,Civil,3,83.9,4.2,7.6,86.1,71.3,52.8,71.1,5.7,6.0,3,Yes,0,High,78.2,64.8,90.1,65.7,Placed,4.42
ST1007,20,Female,Computer Engineering,4,99.7,3.8,7.3,71.0,68.8,73.8,30.0,16.3,6.0,3,No,0,Low,56.8,72.1,59.5,64.5,Placed,4.17
ST1008,20,Male,Information Technology,5,75.7,4.1,5.8,68.9,61.7,72.8,87.3,5.6,5.0,1,No,0,Medium,49.0,84.0,84.7,65.3,Placed,2.49
ST1009,20,Female,Electronics,3,86.6,3.8,5.9,76.8,100.0,82.6,62.4,5.5,6.0,5,No,0,High,57.8,91.0,87.4,58.1,Placed,3.37
ST1010,22,Male,Mechanical,3,62.5,5.4,5.9,84.2,100.0,61.0,58.8,6.6,1.0,1,Yes,1,Low,89.6,63.2,57.8,62.2,Not Placed,0.0
ST1011,21,Female,Electronics,3,66.5,2.1,7.1,100.0,60.9,49.3,64.4,2.4,0.0,2,Yes,1,Low,65.6,60.8,83.4,52.1,Not Placed,0.0
ST1012,20,Male,Mechanical,6,83.7,2.5,6.3,84.9,96.6,74.0,63.7,0.0,3.0,5,Yes,0,High,67.0,59.8,66.6,77.6,Placed,4.18
ST1013,22,Female,Information Technology,4,95.8,2.3,7.5,88.9,70.8,75.7,78.6,13.3,6.0,2,No,1,Medium,58.8,79.7,43.6,65.4,Not Placed,0.0
ST1014,19,Male,Mechanical,4,82.3,4.7,4.0,68.9,77.7,91.4,48.2,0.0,4.0,1,Yes,0,Low,78.0,82.9,75.1,66.4,Not Placed,0.0
ST1015,21,Female,Computer Engineering,5,74.2,4.9,6.1,62.7,75.2,55.5,54.9,9.2,0.0,5,No,0,Medium,68.3,81.4,50.7,58.9,Placed,2.93
ST1016,19,Male,Civil,4,78.0,4.2,5.8,75.7,67.4,87.0,74.8,12.4,1.0,5,No,0,Low,59.8,72.0,56.6,66.1,Not Placed,0.0
ST1017,21,Female,Information Technology,4,63.0,5.3,6.7,76.3,88.8,100.0,78.7,0.7,0.0,2,No,0,Medium,55.6,73.5,52.7,60.7,Not Placed,0.0
ST1018,22,Male,Mechanical,3,85.3,1.7,6.4,62.1,77.6,67.1,79.0,3.4,1.0,0,No,4,Medium,75.3,64.5,73.1,52.2,Not Placed,0.0
ST1019,18,Male,Information Technology,3,88.6,6.0,7.9,72.9,69.8,55.2,59.0,14.1,5.0,3,No,1,Medium,73.7,65.9,51.2,58.6,Not Placed,0.0
ST1020,21,Female,Electronics,6,72.6,5.8,5.0,79.8,59.0,66.7,56.3,10.7,3.0,5,No,0,Medium,52.7,80.8,47.4,63.3,Not Placed,0.0
ST1021,19,Female,Information Technology,3,72.4,4.6,7.1,79.3,64.4,72.2,62.9,4.9,0.0,5,Yes,1,Medium,87.2,72.0,50.3,52.6,Not Placed,0.0
ST1022,22,Male,Mechanical,3,81.2,6.2,7.6,81.1,54.7,79.3,73.4,14.0,3.0,2,No,0,Low,61.0,60.9,55.6,65.9,Not Placed,0.0
ST1023,21,Female,Computer Engineering,3,72.8,1.0,9.0,78.5,76.2,64.3,90.8,14.0,0.0,5,No,0,Low,38.9,84.5,74.9,54.3,Not Placed,0.0
ST1024,18,Male,Computer Engineering,3,77.2,2.7,6.5,68.9,60.4,92.2,41.3,9.3,1.0,2,Yes,0,High,91.4,58.9,81.5,55.3,Not Placed,0.0
ST1025,18,Male,Computer Engineering,6,100.0,2.4,7.4,68.8,72.5,57.5,66.9,3.5,1.0,0,No,1,Medium,68.6,70.2,81.3,57.2,Not Placed,0.0
ST1026,20,Male,Computer Engineering,3,75.0,4.6,5.0,60.6,93.8,49.4,51.3,5.9,0.0,5,Yes,0,Low,76.1,49.4,66.4,59.4,Not Placed,0.0
ST1027,20,Female,Mechanical,5,73.7,1.9,4.4,96.4,91.6,86.4,46.9,9.4,5.0,4,Yes,2,Medium,93.4,53.8,66.0,58.3,Not Placed,0.0
ST1028,19,Male,Computer Engineering,5,70.2,4.6,7.9,75.2,75.6,42.4,83.5,7.1,1.0,1,Yes,0,High,56.0,68.3,64.1,62.8,Not Placed,0.0
ST1029,21,Male,Civil,5,86.9,5.6,7.0,72.3,74.9,69.3,77.6,12.7,2.0,0,Yes,0,Medium,76.7,57.6,74.1,64.8,Not Placed,0.0
ST1030,21,Female,Information Technology,5,75.8,4.5,8.3,63.9,100.0,100.0,76.3,0.4,2.0,4,No,5,Medium,86.5,64.6,84.9,58.7,Not Placed,0.0
ST1031,20,Female,Computer Engineering,3,70.2,3.9,5.5,100.0,82.8,71.8,82.9,0.5,3.0,0,No,0,Low,56.9,86.2,64.6,61.8,Not Placed,0.0
ST1032,21,Female,Mechanical,5,93.9,2.0,7.6,62.1,71.7,57.4,63.3,8.9,6.0,3,No,2,Low,90.4,66.1,75.5,63.5,Not Placed,0.0
ST1033,21,Female,Electronics,3,95.0,2.2,9.1,69.9,57.5,71.3,63.9,5.5,2.0,0,No,2,High,50.3,81.5,47.2,56.1,Not Placed,0.0
ST1034,18,Male,Information Technology,6,70.8,5.4,7.5,80.0,81.1,71.3,98.0,4.9,2.0,0,Yes,3,Medium,68.7,56.3,80.6,56.3,Not Placed,0.0
ST1035,20,Male,Electronics,5,55.6,4.7,7.3,82.2,86.8,74.1,66.5,0.0,5.0,3,Yes,0,Medium,54.9,76.2,70.5,70.9,Placed,2.91
ST1036,22,Male,Electronics,4,90.1,3.4,7.0,86.5,67.8,80.6,80.3,8.1,5.0,5,No,0,High,79.7,53.0,50.5,70.6,Placed,5.65
ST1037,20,Male,Computer Engineering,5,69.8,2.9,5.3,96.7,79.8,58.5,70.1,7.7,6.0,1,No,1,High,56.5,64.3,84.1,56.0,Not Placed,0.0
ST1038,22,Female,Civil,5,87.5,0.5,8.5,81.1,71.3,93.9,44.1,11.3,,4,Yes,1,Low,61.4,76.8,47.1,56.8,Not Placed,0.0
ST1039,18,Male,Civil,3,54.4,1.9,6.3,62.3,73.6,75.2,41.4,8.3,6.0,2,No,1,Low,57.7,68.2,30.6,43.1,Placed,3.56
ST1040,19,Male,Electronics,5,88.7,6.4,7.6,71.9,43.7,81.4,61.9,7.3,4.0,1,No,0,Medium,53.2,82.1,80.5,60.0,Not Placed,0.0
ST1041,21,Female,Computer Engineering,4,63.5,1.6,5.3,78.7,73.1,63.8,84.8,13.9,5.0,0,No,0,Low,59.3,78.0,73.2,63.2,Not Placed,0.0
ST1042,18,Male,Electronics,3,86.8,3.8,5.7,99.8,88.6,88.7,81.0,1.4,4.0,2,Yes,0,Medium,69.4,63.4,47.6,68.4,Placed,4.09
ST1043,21,Male,Computer Engineering,3,78.2,5.0,8.6,58.2,67.8,68.7,82.8,10.7,5.0,3,No,0,High,68.6,87.5,72.7,56.9,Placed,3.0
ST1044,19,Male,Computer Engineering,6,66.6,1.6,6.6,89.4,76.7,75.6,56.2,0.0,4.0,1,No,0,Medium,67.0,74.5,85.7,60.4,Not Placed,0.0
ST1045,19,Male,Computer Engineering,6,73.1,3.8,8.6,77.2,66.2,59.9,92.6,3.8,1.0,5,No,0,Low,60.7,64.3,71.2,68.1,Placed,3.71
ST1046,18,Male,Information Technology,5,86.2,4.9,6.9,85.1,80.7,59.0,56.5,1.9,5.0,4,Yes,0,Low,65.0,70.2,100.0,71.6,Placed,3.56
ST1047,19,Male,Mechanical,6,79.3,3.5,5.0,73.8,73.2,80.9,73.0,11.9,6.0,1,No,1,Medium,47.8,69.4,53.4,74.0,Not Placed,0.0
ST1048,22,Female,Electronics,6,85.0,7.8,8.0,64.9,63.8,66.2,69.9,7.7,3.0,1,No,1,High,60.2,71.0,31.2,77.2,Not Placed,0.0
ST1049,19,Female,Mechanical,6,100.0,1.0,6.4,84.0,93.3,60.9,67.6,7.9,3.0,5,Yes,0,Medium,66.9,65.9,44.4,59.6,Placed,4.76
ST1050,21,Male,Information Technology,3,59.2,5.1,7.8,82.9,88.1,63.6,88.7,2.5,5.0,2,Yes,0,Low,,73.6,30.3,63.3,Placed,3.94
ST1051,21,Male,Information Technology,3,97.4,3.2,7.0,86.7,68.1,81.1,60.1,6.5,2.0,3,No,1,Low,72.4,79.8,100.0,55.5,Not Placed,0.0
ST1052,21,Female,Information Technology,3,79.3,4.7,5.3,74.8,82.5,63.8,51.1,4.2,3.0,5,No,0,High,52.8,74.4,66.9,56.4,Placed,2.17
ST1053,21,Male,Civil,6,67.2,4.2,7.2,67.8,83.0,70.5,70.3,9.9,6.0,3,No,2,Medium,76.0,73.9,98.0,62.9,Not Placed,0.0
ST1054,22,Male,Computer Engineering,3,62.0,2.4,9.4,56.3,84.3,72.2,64.4,3.0,2.0,5,Yes,2,High,71.7,66.5,61.3,50.6,Not Placed,0.0
ST1055,20,Male,Mechanical,6,75.7,3.8,7.5,84.8,54.0,47.1,98.0,14.6,3.0,1,No,3,Medium,90.2,54.7,52.5,59.6,Not Placed,0.0
ST1056,18,Female,Electronics,3,89.1,0.7,6.9,80.1,89.1,52.9,79.5,0.0,0.0,3,No,1,Medium,49.1,51.1,39.3,51.5,Not Placed,0.0
ST1057,21,Male,Information Technology,3,76.5,4.4,8.2,63.4,68.6,76.4,64.3,4.0,0.0,2,Yes,0,Low,68.1,57.4,60.7,56.5,Not Placed,0.0
ST1058,19,Female,Electronics,4,96.1,3.9,7.2,68.5,71.3,62.4,55.2,16.4,5.0,2,No,1,Medium,84.4,61.7,80.5,64.4,Not Placed,0.0
ST1059,21,Male,Information Technology,5,60.6,4.5,7.2,69.4,100.0,85.7,43.7,5.8,6.0,4,Yes,0,Medium,65.9,93.1,63.4,68.7,Placed,5.81
ST1060,19,Female,Mechanical,6,77.9,5.1,5.8,57.2,79.9,84.6,55.6,1.4,6.0,3,Yes,0,High,57.2,86.8,41.4,56.7,Placed,5.8
ST1061,19,Female,Civil,4,63.0,4.1,7.3,65.2,71.0,81.3,71.6,9.1,3.0,4,No,0,Low,58.6,59.1,77.4,58.3,Not Placed,0.0
ST1062,21,Male,Information Technology,3,82.4,3.7,8.1,61.4,47.3,95.7,90.0,5.6,1.0,5,No,0,Low,81.0,74.7,80.4,64.0,Not Placed,0.0
ST1063,22,Female,Computer Engineering,6,88.6,2.2,6.1,70.1,94.1,70.9,85.7,3.8,2.0,0,Yes,0,Medium,48.3,67.0,58.5,68.6,Not Placed,0.0
ST1064,19,Male,Electronics,3,73.0,2.4,8.6,66.1,58.5,80.4,73.2,2.5,3.0,2,Yes,0,Low,65.3,71.5,56.5,61.6,Not Placed,0.0
ST1065,19,Female,Civil,5,46.7,5.3,6.9,55.5,63.0,64.4,65.5,21.8,5.0,1,Yes,1,Medium,57.7,59.8,39.7,51.6,Not Placed,0.0
ST1066,21,Male,Computer Engineering,4,80.4,5.7,6.0,99.3,71.7,100.0,73.8,6.7,2.0,2,Yes,5,Low,58.8,100.0,77.0,53.9,Not Placed,0.0
ST1067,19,Male,Electronics,5,83.2,3.1,8.1,90.0,94.4,97.8,62.7,0.0,4.0,0,Yes,0,Low,76.2,96.0,59.6,60.2,Not Placed,0.0
